run,exit_code,duration_ms,available_before,available_after,generated_tokens,output_ok
01,0,19581,15985197056,15992901632,127,1
02,0,18440,15991869440,15992344576,127,1
03,0,19252,15991312384,15991693312,127,1
04,0,20146,15990661120,15990366208,127,1
05,0,18971,15989334016,15989563392,127,1
06,0,18639,15989563392,15989633024,127,1
07,0,18935,15989116928,15989854208,127,1
08,0,19475,15991468032,15989903360,127,1
09,0,19036,15989903360,15989612544,127,1
10,0,19519,15988580352,15989436416,127,1
11,0,20029,15988707328,15988596736,127,1
12,0,18991,15988080640,15990120448,127,1
13,0,18909,15990120448,15989161984,127,1
14,0,19119,15988711424,15988436992,127,1
15,0,18277,15987920896,15987531776,127,1
16,0,19350,15987015680,15989489664,127,1
17,0,19717,15988973568,15988641792,127,1
18,0,19649,15988125696,15987589120,127,1
19,0,19298,15987073024,15987462144,127,1
20,0,19407,15987462144,15986257920,127,1
21,0,19093,15986008064,15986970624,127,1
22,0,18800,15986454528,15988051968,127,1
23,0,19136,15987019776,15987171328,127,1
24,0,19279,15986655232,15986458624,127,1
25,0,19117,15985942528,15986405376,127,1
26,0,19063,15985639424,15988617216,127,1
27,0,18627,15989166080,15990030336,127,1
28,0,19131,15989514240,15989743616,127,1
29,0,19735,15988711424,15988658176,127,1
30,0,18360,15988142080,15988064256,127,1
