run,exit_code,duration_ms,available_before,available_after,output_ok
01,0,9081,15987793920,15989112832,1
02,0,8603,15988596736,15988748288,1
03,0,8659,15988232192,15988109312,1
04,0,8736,15988109312,15988932608,1
05,0,8864,15988416512,15988289536,1
06,0,8663,15988289536,15987736576,1
07,0,8882,15986704384,15987900416,1
08,0,8870,15986868224,15988539392,1
09,0,8791,15988023296,15988297728,1
10,0,9210,15988297728,15988736000,1
11,0,9510,15988219904,15988084736,1
12,0,8506,15987568640,15987445760,1
13,0,9042,15986929664,15988142080,1
14,0,9271,15988142080,15989178368,1
15,0,8772,15988146176,15989747712,1
16,0,9216,15988715520,15989256192,1
17,0,8717,15988224000,15989272576,1
18,0,9167,15988756480,15990226944,1
19,0,9202,15989194752,15989522432,1
20,0,8516,15988490240,15988310016,1
21,0,8782,15988310016,15989161984,1
22,0,8228,15988129792,15989637120,1
23,0,9239,15990751232,15988940800,1
24,0,8863,15988424704,15988617216,1
25,0,9183,15987585024,15989198848,1
26,0,9238,15990263808,15991578624,1
27,0,8701,15991062528,15991574528,1
28,0,8637,15991058432,15990976512,1
29,0,9048,15990460416,15990665216,1
30,0,8781,15990415360,15990640640,1
